Text Command,Topic,Identifier,Action,One Hot Encoded Topic,One Hot Encoded Action,Verb/Noun
assign closed to task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
create radical project called Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
Track trends cast is on schedule,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
problem with Track trends cast,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
Track trends is at peril,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
assign project Track trends on target,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",assign
project Track trends danger,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",danger
put danger to project Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
see Track trends is in danger,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
assign blocked to task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",assign
create see Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
Track trends project at adventure,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
go Track trends task,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
assign blocked to Track trends chore,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
accomplished Track trends,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
created Track trends tax,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
project Track trends is in progress,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
assign at risk to plan Track trends,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
attribute Track trends at risk,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
on mark Track trends,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
in build Track trends task,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
risk Track trends plan,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
go on Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Track trends task is in follow-up,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
there is a job with Track trends task,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
assign completed position to Track trends,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
assign in progress to Track trends job,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
in follow-up Track trends task,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Track trends project complete,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",complete
assign on target to Track trends,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",assign
delegate Track trends project on target,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign project Track trends on place,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends project jeopardy,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
project Track trends is over,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
closed Track trends task,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
blocked task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",blocked
task Track trends was all,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
task Track trends good,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
assign blocked to Track trends project,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
assign in review to labor Track trends,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
create project known as Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
assign on aim to task Track trends,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
created new task Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",created
at chance Track trends,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
see Track trends completed,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
in advancement Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
task Track trends out of use,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
assign Track trends project at hazard,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
assign task Track trends in review,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",assign
produce new project called Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
offset on Track trends task,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
peril Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
Track trends is endorse on track,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
at risk Track trends see,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
in advance task Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
designate task Track trends in review,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
task Track trends follow-up,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
created baby Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
there is a problem with project Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",problem
project Track trends is sound,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
create task called Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",create
assign danger to Track trends plan,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
assign blocked to Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",assign
Track trends cast is complete,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
create task Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",create
hazard Track trends,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
Track trends task is good,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
start Track trends project,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
assign Track trends cast at risk,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
project Track trends in review,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
assign Track trends task in refresh,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
out of use Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
Track trends project is back on cross,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends is back on cross,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
green task Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
Track trends task was over,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
Track trends project is on place,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
create green Track trends project,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
Track trends is on cover,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign in progress to Track trends chore,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
designate blocked to task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
assign danger to design Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
in progress chore Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
project Track trends on target,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",on target
Track trends on objective,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
job Track trends is complete,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
project Track trends is risk,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
created task called Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",created
Track trends project on point,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
design Track trends is on track,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
create new project Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",create
make project called Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
Track trends is in build,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
produce Track trends task,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
assign in survey to Track trends,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
created baby project Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
assign in review to Track trends tax,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
assign in progress to Track trends,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",assign
Track trends see on track,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends project is all,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
there is a problem with cast Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
Track trends labor in progress,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
create baby project Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
create novel project Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
create novel Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
danger throw Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
created job Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
task Track trends is in progression,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
delegate Track trends project at risk,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
Track trends project was accomplished,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
Track trends endorse on track,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends design is at risk,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
on target see Track trends,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends project is on point,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
throw Track trends is complete,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
created new project Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",created
project Track trends is on mark,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
on target Track trends throw,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign tax Track trends in review,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
task Track trends is in follow-up,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Track trends project was good,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
plan Track trends is back on track,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
task Track trends was over,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
assign obstructed to task Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
project Track trends is on point,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign Track trends cast on target,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
project Track trends is on aim,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign in progress to Track trends tax,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
created radical Track trends project,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
job Track trends complete,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
created new Track trends cast,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
project Track trends is on cover,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign in refresh to Track trends task,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
cast Track trends completed,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
trouble with Track trends,Project,Track trends,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
Track trends baby task,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
new labor Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
on aim Track trends project,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends labor is in progress,Task,Track trends,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Track trends task is realized,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
blocked tax Track trends,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
through with Track trends,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
created throw Track trends,Project,Track trends,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
Track trends project on agenda,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends project is at adventure,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
there is a problem with Track trends labor,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
assign in review to Track trends project,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Track trends is back on cover,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
labor Track trends is in review,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Track trends labor is in review,Task,Track trends,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Track trends cast risk,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
consummated task Track trends,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
task Track trends consummated,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
Track trends project is back on dog,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
Track trends see was complete,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
make Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
Track trends project is on agenda,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
make new task Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
completed Track trends design,Project,Track trends,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
labor Track trends complete,Task,Track trends,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
assign throw Track trends on target,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
on place Track trends,Project,Track trends,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
create new task titled Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
at risk Track trends design,Project,Track trends,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
project Track trends is blocked,Task,Track trends,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
created new job called Track trends,Task,Track trends,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
begin Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
protrusive on task Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
in advancement task Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
create novel Monitor competition project,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
project Monitor competition is back on cross,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
in progress job Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
created novel task Monitor competition,Task,Monitor competition,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
review Monitor competition project,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
assign Monitor competition task in progress,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",assign
plan Monitor competition at risk,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
ascribe in progress to Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
there is a problem with Monitor competition tax,Task,Monitor competition,Blocked,"[1,0]","[0,0,0,1,0]",SYNREPLACED
see Monitor competition is on target,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
at risk throw Monitor competition,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
Monitor competition chore review,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
new design Monitor competition,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
offset on Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Monitor competition was good,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
assign task Monitor competition in recap,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
Monitor competition is risk,Project,Monitor competition,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
task Monitor competition in survey,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
produce Monitor competition project,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
design Monitor competition back on track,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
create job called Monitor competition,Task,Monitor competition,To Do,"[1,0]","[1,0,0,0,0]",SYNREPLACED
in refresh Monitor competition task,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
assign risk to Monitor competition,Project,Monitor competition,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
risk Monitor competition project,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",risk
review Monitor competition tax,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
started Monitor competition chore,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
assign Monitor competition plan on target,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
see Monitor competition risk,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
Monitor competition throw is complete,Project,Monitor competition,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
Monitor competition task completed,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",completed
project Monitor competition back on lead,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
baby project Monitor competition,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
plan Monitor competition danger,Project,Monitor competition,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
completed Monitor competition see,Project,Monitor competition,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
Monitor competition task is in refresh,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
create new task Monitor competition,Task,Monitor competition,To Do,"[1,0]","[1,0,0,0,0]",create
created new Monitor competition design,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
created green project called Monitor competition,Project,Monitor competition,Create,"[0,1]","[1,0,0,0,0]",SYNREPLACED
at peril Monitor competition project,Project,Monitor competition,At Risk,"[0,1]","[0,0,1,0,0]",SYNREPLACED
ascribe in progress to task Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
protrusive Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
project Monitor competition sound,Project,Monitor competition,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
follow-up Monitor competition task,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
cast Monitor competition is back on track,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
task Monitor competition was consummated,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
tax Monitor competition completed,Task,Monitor competition,Completed,"[1,0]","[0,0,0,0,1]",SYNREPLACED
assign Monitor competition task in advance,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
assign in build up to Monitor competition task,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Monitor competition on cover,Project,Monitor competition,On Target,"[0,1]","[0,1,0,0,0]",SYNREPLACED
assign in review to Monitor competition job,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
review Monitor competition job,Task,Monitor competition,In Review,"[1,0]","[0,0,1,0,0]",SYNREPLACED
accomplished Monitor competition project,Project,Monitor competition,Completed,"[0,1]","[0,0,0,0,1]",SYNREPLACED
assign in progress to labor Monitor competition,Task,Monitor competition,In Progress,"[1,0]","[0,1,0,0,0]",SYNREPLACED
Monitor competition throw danger,Project,Monitor competition,Danger,"[0,1]","[0,0,0,1,0]",SYNREPLACED
