Text Command,Topic,Identifier,Action,One Hot Encoded Topic,One Hot Encoded Action,Verb/Noun
x launch the task,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
x invoking a task,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
x launch task,Task,x,In Progress,"[1,0]","[0,1,0,0,0]",BACKTRANSLATED
x under review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
under review x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
x is under review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
overlooking x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
task x review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
x task under review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
task x is under review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
x task is under review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
check task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
x check the task,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
confirm task x,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
x task review,Task,x,In Review,"[1,0]","[0,0,1,0,0]",BACKTRANSLATED
